Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
138930,BNK금융지주,KOSPI,17600,-0.17,631529,11197589915,2026-04-04 21:27
001440,대한전선,KOSPI,29200,1.92,1659141,48621714000,2026-04-04 21:27
034220,LG디스플레이,KOSPI,10860,-2.86,6263463,69210832245,2026-04-04 21:27
088980,맥쿼리인프라,KOSPI,11300,0.0,635274,7189831695,2026-04-04 21:27
454910,두산로보틱스,KOSPI,82500,-0.12,103586,8614836100,2026-04-04 21:27
310210,보로노이,KOSDAQ,279000,-1.06,88001,24593075000,2026-04-04 21:27
271560,오리온,KOSPI,129800,-0.15,70528,9183170600,2026-04-04 21:27
021240,코웨이,KOSPI,72000,0.14,114054,8303988850,2026-04-04 21:27
095340,ISC,KOSDAQ,237000,0.42,168892,40777263500,2026-04-04 21:27
039030,이오테크닉스,KOSDAQ,396000,-0.38,68015,27184176250,2026-04-04 21:27
450080,에코프로머티,KOSPI,68500,-3.11,1436065,99272467250,2026-04-04 21:27
022100,포스코DX,KOSPI,30500,1.16,219228,6723274450,2026-04-04 21:27
004020,현대제철,KOSPI,34250,2.39,1116387,38916260275,2026-04-04 21:27
036570,엔씨소프트,KOSPI,211500,-0.7,42412,9093986000,2026-04-04 21:27
010060,OCI홀딩스,KOSPI,229500,11.95,499507,111928134250,2026-04-04 21:27
002380,KCC,KOSPI,464000,0.32,28436,13137662000,2026-04-04 21:27
251270,넷마블,KOSPI,50000,2.04,225530,11368051100,2026-04-04 21:27
062040,산일전기,KOSPI,133600,0.83,347781,46436844600,2026-04-04 21:27
263750,펄어비스,KOSDAQ,63200,-4.53,1411302,89962958200,2026-04-04 21:27
353200,대덕전자,KOSPI,81200,1.12,914506,74828051500,2026-04-04 21:27
000990,DB하이텍,KOSPI,90600,8.76,428374,38462136700,2026-04-04 21:27
088350,한화생명,KOSPI,4470,1.13,2949433,13269240881,2026-04-04 21:27
018880,한온시스템,KOSPI,3780,0.53,4164415,15926400346,2026-04-04 21:27
082740,한화엔진,KOSPI,45700,5.42,404956,18459268275,2026-04-04 21:27
051900,LG생활건강,KOSPI,247000,0.82,30686,7568875000,2026-04-04 21:27
032820,우리기술,KOSDAQ,21600,4.6,10584637,224068616750,2026-04-04 21:27
489790,한화비전,KOSPI,72700,1.25,311398,22745071000,2026-04-04 21:27
439260,대한조선,KOSPI,94100,7.42,250083,23336372900,2026-04-04 21:27
012510,더존비즈온,KOSPI,119200,-0.17,58139,6934358300,2026-04-04 21:27
108490,로보티즈,KOSDAQ,246000,-3.15,235462,59282879750,2026-04-04 21:27
011790,SKC,KOSPI,94900,1.39,230381,21595751350,2026-04-04 21:27
035250,강원랜드,KOSPI,16610,-1.01,561237,9397419690,2026-04-04 21:27
111770,영원무역,KOSPI,79700,-1.24,71974,5798913100,2026-04-04 21:27
403870,HPSP,KOSDAQ,42000,2.82,1128904,47118874550,2026-04-04 21:27
214150,클래시스,KOSDAQ,52700,0.76,109025,5807523700,2026-04-04 21:27
011170,롯데케미칼,KOSPI,80100,1.52,104779,8473502850,2026-04-04 21:27
097950,CJ제일제당,KOSPI,226000,2.73,133853,30464369500,2026-04-04 21:27
017800,현대엘리베이터,KOSPI,86900,2.72,141334,12306431100,2026-04-04 21:27
103590,일진전기,KOSPI,71000,1.57,119906,8538657100,2026-04-04 21:27
031210,서울보증보험,KOSPI,48200,-1.43,115744,5610991975,2026-04-04 21:27
226950,올릭스,KOSDAQ,164000,-8.28,439703,73574692150,2026-04-04 21:27
012750,에스원,KOSPI,86500,0.7,29320,2554630600,2026-04-04 21:27
043260,성호전자,KOSDAQ,45950,4.43,1242277,56570245150,2026-04-04 21:27
112610,씨에스윈드,KOSPI,76900,18.49,2288237,172131564100,2026-04-04 21:27
302440,SK바이오사이언스,KOSPI,41100,-1.44,76946,3196727225,2026-04-04 21:27
036460,한국가스공사,KOSPI,34650,0.87,169129,5883633450,2026-04-04 21:27
0009K0,에임드바이오,KOSDAQ,48300,-1.73,179091,8769157200,2026-04-04 21:27
001720,신영증권,KOSPI,187500,1.02,14869,2801331900,2026-04-04 21:27
011780,금호석유화학,KOSPI,118000,0.0,103240,12150091100,2026-04-04 21:27
319400,현대무벡스,KOSDAQ,27300,2.44,1245846,34113482725,2026-04-04 21:27
214450,파마리서치,KOSDAQ,290500,-0.68,63164,18379279000,2026-04-04 21:27
014680,한솔케미칼,KOSPI,264500,-1.86,46344,12274183500,2026-04-04 21:27
347850,디앤디파마텍,KOSDAQ,68600,-1.15,380215,26097453350,2026-04-04 21:27
145020,휴젤,KOSDAQ,243000,0.0,37296,9119935000,2026-04-04 21:27
